Entity,Prevalence - Neoplasms - Sex: Both - Age: 70+ years (Number),Prevalence - Neoplasms - Sex: Both - Age: 50-69 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 15-49 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 5-14 years (Number),Prevalence - Neoplasms - Sex: Both - Age: Under 5 (Number)
Syria,220210.23556983,517415.9458758999,550262.5947818999,113776.05347638,77320.52918150001
Taiwan,2609094.3116710996,5406449.0350437,5118413.11454,423432.7902944001,318342.75911097
Tajikistan,67022.55583978,158434.75346655998,236144.70808760004,51444.74229570001,55549.41996376
Tanzania,373148.32449265005,829530.4776328999,957532.2856207,75352.98924549,432301.25324950006
Thailand,1759022.3289452002,4284062.7217105,3907870.4168912,85210.46331406,162116.53669781
Timor,8891.297989895,24278.894350131002,16399.972517694,1461.5093259411997,5064.957302774001
Togo,36433.088697763,103527.89812722002,120574.23222688999,7446.184137771998,27150.246055523992
Tonga,3651.4707793759,6128.395189309999,6039.021410893,295.95655652346994,456.7770472464
Trinidad and Tobago,81824.80215830999,142877.79193176003,82178.50076628,2506.8075508149,4534.76017948
Tropical Latin America,7173905.093735002,13492902.233696,9258644.010622999,266812.85125426995,654979.480482
Tunisia,312514.09918972995,571771.61665095,511872.72496908,46686.70252772,42604.96132041999
Turkey,2711581.0577007,5657639.5182414,3834767.8140171003,416545.1064321,560224.9116583
Turkmenistan,54811.619949030006,164869.55884673,219002.73074797,29421.801225118998,33604.882516898
Uganda,238221.01422749,591334.0188559002,693344.98013,75106.33499789001,334545.68585346005
Ukraine,4718602.002781,10870407.643861998,5557429.316783001,387550.17327339994,368210.32164574007
United Arab Emirates,21700.803052377,165315.46125993,301712.9387018,14724.142628794,16087.749885805999
United Kingdom,21411648.78586,22079345.164179005,10759275.151347,663355.1672847001,540778.1271609999
United States,146929111.19448003,200211383.51195005,132750766.04620999,7736734.828001998,2877148.3912132997
United States Virgin Islands,16348.508082840002,31289.509443244002,8414.958084307,256.64648167089996,388.82372561669996
Uruguay,493490.2031953,616718.8907451,324528.90919268,11678.091738718003,12476.075326958
Uzbekistan,296179.36581997,964960.5107775,1193280.6691317004,188596.75368504,188426.03650162998
Vanuatu,3295.9437394406,8195.682049407998,11394.782066132,683.2017144649,794.9971621254
Venezuela,1133128.6689681,2200676.5764806997,1628615.9607492995,84762.08907004999,137810.95295536998
Vietnam,1733360.7594112996,3988383.6799063,3254868.5064113,135374.26764816,178805.26560347
Wales,1040363.906852,1077426.7359475999,459631.2100325001,18657.331614602997,18067.986504506
Western Europe,123532123.58942004,143678326.47246996,61659763.06213,3147807.570514501,2875349.0335545004
Western Sub-Saharan Africa,3240105.6958839,6645963.820414001,7129986.529506999,437215.1267254001,2522799.0541267004
World,497851335.11950004,781706544.5510001,535841999.94159997,42196302.66273001,48667908.83659001
Yemen,162579.5129524,388105.51671123004,491803.4109766501,125120.83224855,112480.94905220998
Zambia,97693.99734584002,246941.61374590005,324875.6710542499,25042.069603904998,131234.77005444
Zimbabwe,163922.53954055006,397995.14190879004,344467.25481676,21001.046959934,39910.931456180995
